School Year,School ID,Total,# Bilingual,% Bilingual,# SpED,% SpED,# Free/Reduced Lunch,% Free/Reduced Lunch
2017,610586,447,118,0.2640,61,0.1365,403,0.9016
2017,610295,279,1,0.0036,35,0.1254,235,0.8423
2017,609978,374,1,0.0027,49,0.1310,361,0.9652
2017,610364,256,4,0.0156,34,0.1328,252,0.9844
2017,610339,440,8,0.0182,69,0.1568,407,0.9250
2017,610106,603,142,0.2355,92,0.1526,546,0.9055
2017,609883,562,1,0.0018,84,0.1495,503,0.8950
2017,610248,601,171,0.2845,84,0.1398,433,0.7205
2017,610340,549,40,0.0729,101,0.1840,445,0.8106
2017,610499,295,1,0.0034,53,0.1797,286,0.9695
2017,609885,419,13,0.0310,42,0.1002,409,0.9761
2017,610254,438,,,44,0.1005,430,0.9817
2017,610543,1142,142,0.1243,119,0.1042,1075,0.9413
2017,609900,578,12,0.0208,63,0.1090,517,0.8945
2017,610103,647,2,0.0031,77,0.1190,597,0.9227
2017,610274,467,1,0.0021,53,0.1135,463,0.9914
2017,610263,631,,,66,0.1046,627,0.9937
2017,609971,427,,,78,0.1827,385,0.9016
2017,610000,498,2,0.0040,73,0.1466,446,0.8956
2017,610036,473,62,0.1311,49,0.1036,425,0.8985
2017,610053,1160,357,0.3078,107,0.0922,1110,0.9569
2017,609928,366,,,49,0.1339,337,0.9208
2017,610257,391,7,0.0179,54,0.1381,386,0.9872
2017,609806,624,10,0.0160,82,0.1314,613,0.9824
2017,610231,706,21,0.0297,75,0.1062,547,0.7748
2017,610389,386,20,0.0518,89,0.2306,358,0.9275
2017,610021,456,94,0.2061,47,0.1031,410,0.8991
2017,610282,399,17,0.0426,86,0.2155,397,0.9950
2017,610396,1002,294,0.2934,96,0.0958,932,0.9301
2017,609991,657,7,0.0107,103,0.1568,638,0.9711
2017,609851,372,3,0.0081,48,0.1290,365,0.9812
2017,609955,339,1,0.0029,42,0.1239,315,0.9292
2017,609727,558,3,0.0054,134,0.2401,538,0.9642
2017,610172,290,1,0.0034,32,0.1103,286,0.9862
2017,609844,406,,,38,0.0936,383,0.9433
2017,610513,335,6,0.0179,43,0.1284,298,0.8896
2017,609754,293,12,0.0410,39,0.1331,270,0.9215
2017,609760,500,14,0.0280,30,0.0600,452,0.9040
2017,610390,567,15,0.0265,48,0.0847,504,0.8889
2017,609780,841,128,0.1522,66,0.0785,799,0.9501
2017,610304,540,16,0.0296,40,0.0741,517,0.9574
2017,609963,477,16,0.0335,41,0.0860,93,0.1950
2017,610098,882,305,0.3458,120,0.1361,807,0.9150
2017,609837,655,2,0.0031,53,0.0809,516,0.7878
2017,610084,241,5,0.0207,6,0.0249,48,0.1992
2017,609951,506,2,0.0040,57,0.1126,407,0.8043
2017,609820,532,13,0.0244,72,0.1353,81,0.1523
2017,609764,1607,284,0.1767,241,0.1500,1539,0.9577
2017,610076,520,152,0.2923,71,0.1365,453,0.8712
2017,609821,528,5,0.0095,64,0.1212,477,0.9034
2017,610148,997,466,0.4674,96,0.0963,894,0.8967
2017,609753,720,8,0.0111,136,0.1889,321,0.4458
2017,609899,800,44,0.0550,116,0.1450,104,0.1300
